=cclite logging file

2011/08/06 17:15:10 WARN> cclite.cgi:329 main:: - corrupt token or spoofing attempt from: test2test2 127.0.0.1
2011/08/06 17:15:10 DEBUG> Ccu.pm:949 Ccu::pretty_caller - p:main l:369 f:Cclite::logoff_user
2011/08/06 17:23:26 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2test2, ip:127.0.0.1
2011/08/06 17:23:26 WARN> cclite.cgi:329 main:: - corrupt token or spoofing attempt from: test2test2 127.0.0.1
2011/08/06 17:23:26 DEBUG> Ccu.pm:949 Ccu::pretty_caller - p:main l:369 f:Cclite::logoff_user
2011/08/06 17:23:29 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2test2, ip:127.0.0.1
2011/08/06 17:23:29 WARN> cclite.cgi:329 main:: - corrupt token or spoofing attempt from: test2test2 127.0.0.1
2011/08/06 17:23:29 DEBUG> Ccu.pm:949 Ccu::pretty_caller - p:main l:369 f:Cclite::logoff_user
2011/08/06 17:33:31 DEBUG> Ccsecure.pm:203 Ccsecure::calculate_token - in token calc, new token: , u:test2, ip:127.0.0.1
2011/08/06 17:33:32 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/06 17:33:39 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/06 17:33:42 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/06 17:37:16 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/06 17:37:27 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/06 17:37:30 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/06 17:37:36 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/06 17:37:39 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:00:19 DEBUG> Ccsecure.pm:203 Ccsecure::calculate_token - in token calc, new token: , u:test2, ip:127.0.0.1
2011/08/07 12:00:19 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:00:27 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:00:30 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:00:43 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:00:47 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:00:51 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:01:04 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:01:09 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:01:13 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:01:25 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:12:59 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:13:55 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:15:45 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:16:29 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:16:52 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:18:24 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:18:51 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 12:20:52 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:04:55 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:26:24 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:27:05 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:30:28 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:31:08 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:32:28 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:34:32 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:35:14 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:53:38 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:54:17 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:54:22 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:55:45 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 13:57:15 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 14:15:31 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2, ip:127.0.0.1
2011/08/07 14:19:14 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:19:40 DEBUG> Ccsecure.pm:203 Ccsecure::calculate_token - in token calc, new token: , u:manager, ip:127.0.0.1
2011/08/07 14:19:41 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:19:51 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:19:55 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:20:11 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:23:04 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:23:09 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:23:30 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:23:35 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:24:04 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:27:01 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:27:15 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:29:19 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:29:35 DEBUG> Ccsecure.pm:203 Ccsecure::calculate_token - in token calc, new token: , u:manager, ip:127.0.0.1
2011/08/07 14:29:36 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:29:40 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:29:44 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:30:38 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:31:11 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 14:31:28 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:25:40 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
